phase,category,filename,img_path,exists,annot_A,annot_B,annot_C,soft_anger,soft_contempt,soft_disgust,soft_fear,soft_happy,soft_neutral,soft_sad,soft_surprise
train,anger,6oj439e3fbcc52759fb3093035b7c0ecc55c93543dae63ec1162f5f6bfc6e481l.jpg,./Data/EST_data/img_train/anger/6oj439e3fbcc52759fb3093035b7c0ecc55c93543dae63ec1162f5f6bfc6e481l.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,65rsfe402042f34319e10128c1ab9614e2f967690a64a0016f2c49ff33fe7sy3z.jpg,./Data/EST_data/img_train/anger/65rsfe402042f34319e10128c1ab9614e2f967690a64a0016f2c49ff33fe7sy3z.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,b1cbe34734870cc11c33334e02bea93ac3a3b061caab62c0df1c6b9c75430tquz.jpg,./Data/EST_data/img_train/anger/b1cbe34734870cc11c33334e02bea93ac3a3b061caab62c0df1c6b9c75430tquz.jpg,True,상처,불안,슬픔,0.0,0.0,0.0,0.3333333333333333,0.0,0.19999999999999998,0.4666666666666666,0.0
train,anger,llfycc0aa29599cc63cace3610fdaaad3a99aab2ee38c9edb6c10966765bbwd5f.jpg,./Data/EST_data/img_train/anger/llfycc0aa29599cc63cace3610fdaaad3a99aab2ee38c9edb6c10966765bbwd5f.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,3hww73b70615461a7336d0383b53582f8bf804f6e0f30d64f36fb410038b82m2u.jpg,./Data/EST_data/img_train/anger/3hww73b70615461a7336d0383b53582f8bf804f6e0f30d64f36fb410038b82m2u.jpg,True,기쁨,분노,분노,0.5333333333333333,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.0
train,anger,6djf1d1227b4cee1da85978242a51039128237521375765184125912377b5f47y.jpg,./Data/EST_data/img_train/anger/6djf1d1227b4cee1da85978242a51039128237521375765184125912377b5f47y.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,4fsc41eceaf74e53b3f34c3adf73cc199d8bd87c8f33a9593d7201353b57173lx.jpg,./Data/EST_data/img_train/anger/4fsc41eceaf74e53b3f34c3adf73cc199d8bd87c8f33a9593d7201353b57173lx.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,29b1d481bb37696f54b4e0bb829dd3aa02be8bfeecd6ead600aa29bf29ed289hq.jpg,./Data/EST_data/img_train/anger/29b1d481bb37696f54b4e0bb829dd3aa02be8bfeecd6ead600aa29bf29ed289hq.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,6snv44f222d26c517256779fb32855acff35093808ee71a995f012c64e08cnwhi.jpg,./Data/EST_data/img_train/anger/6snv44f222d26c517256779fb32855acff35093808ee71a995f012c64e08cnwhi.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,s5p48256122b20ab3b5025653432de00948c526e391549ac11a7313736681jgvq.jpg,./Data/EST_data/img_train/anger/s5p48256122b20ab3b5025653432de00948c526e391549ac11a7313736681jgvq.jpg,True,분노,분노,중립,0.5333333333333333,0.0,0.0,0.0,0.0,0.4666666666666666,0.0,0.0
train,anger,iof6cd50b558e7c39cf99b40e4793ce1018a9f34c2de15d00e3eb10e50ee06vc7.jpg,./Data/EST_data/img_train/anger/iof6cd50b558e7c39cf99b40e4793ce1018a9f34c2de15d00e3eb10e50ee06vc7.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,mpfccd82cb2ccb79cc7eda94d5919855243402dda04ec872da7c564a272e18rk6.jpg,./Data/EST_data/img_train/anger/mpfccd82cb2ccb79cc7eda94d5919855243402dda04ec872da7c564a272e18rk6.jpg,True,분노,상처,분노,0.5333333333333333,0.0,0.0,0.0,0.0,0.2333333333333333,0.2333333333333333,0.0
train,anger,eavj85688b78f3a02e584e5527fa99848ae413bdd640c5770c7ff4399b4750hf9.jpg,./Data/EST_data/img_train/anger/eavj85688b78f3a02e584e5527fa99848ae413bdd640c5770c7ff4399b4750hf9.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,1u8i967579529030690633e3699a5033edd514afdb510180d30b2c5a830073keh.jpg,./Data/EST_data/img_train/anger/1u8i967579529030690633e3699a5033edd514afdb510180d30b2c5a830073keh.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,amn1055d0c5ee01d54cce70efffabf30589a00e3ffaf5c07e2d33a3277530jd7o.jpg,./Data/EST_data/img_train/anger/amn1055d0c5ee01d54cce70efffabf30589a00e3ffaf5c07e2d33a3277530jd7o.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,93c4efc5c14b1017428ff1dd1c19586a27728dcd9df16a552d72d2136b8b11cqh.jpg,./Data/EST_data/img_train/anger/93c4efc5c14b1017428ff1dd1c19586a27728dcd9df16a552d72d2136b8b11cqh.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,eh1706d34df5aa3bc8ad927d82818b0e808e5d76d5f06c8f20adcb38f6f328m5t.jpg,./Data/EST_data/img_train/anger/eh1706d34df5aa3bc8ad927d82818b0e808e5d76d5f06c8f20adcb38f6f328m5t.jpg,True,슬픔,분노,불안,0.26666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.2333333333333333,0.0
train,anger,2bxg0935bd31ccb3b811904a7c7b38488111ab78b9cead9d5d1af80b35081gdho.jpg,./Data/EST_data/img_train/anger/2bxg0935bd31ccb3b811904a7c7b38488111ab78b9cead9d5d1af80b35081gdho.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,cht0bb59ef88724b7072233129727bb4342bdc47637f5d1340c30c3ccff1daqxa.jpg,./Data/EST_data/img_train/anger/cht0bb59ef88724b7072233129727bb4342bdc47637f5d1340c30c3ccff1daqxa.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
train,anger,du7z3289390442a1a91b9f92294823b992ac82baf90a39cf19852f02a20b3o65f.jpg,./Data/EST_data/img_train/anger/du7z3289390442a1a91b9f92294823b992ac82baf90a39cf19852f02a20b3o65f.jpg,True,슬픔,슬픔,불안,0.0,0.0,0.0,0.3333333333333333,0.0,0.19999999999999998,0.4666666666666666,0.0
train,anger,lnkt16fb19fc68e7e2777b8c184637067f7f622928af42368271c4c4ce24bsy18.jpg,./Data/EST_data/img_train/anger/lnkt16fb19fc68e7e2777b8c184637067f7f622928af42368271c4c4ce24bsy18.jpg,True,분노,분노,분노,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
